IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,22727 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,76 ms,22490 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,12234 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,216 ms,7358 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,236 ms,7151 kB/s
47.236.170.225,8443,true,SIN,Asia Pacific,Singapore,226 ms,7036 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,207 ms,6999 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,215 ms,6774 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,215 ms,6533 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,221 ms,6332 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,219 ms,6295 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,211 ms,6081 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,220 ms,6054 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,240 ms,5989 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,207 ms,5949 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,228 ms,5813 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,214 ms,5746 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,213 ms,5635 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,245 ms,5590 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,261 ms,5343 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,241 ms,5310 kB/s
8.219.170.232,2083,true,SIN,Asia Pacific,Singapore,212 ms,5307 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,233 ms,5296 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,241 ms,5278 kB/s
47.236.158.158,2053,true,SIN,Asia Pacific,Singapore,233 ms,5278 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,286 ms,5277 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,243 ms,5268 kB/s
47.236.146.249,2096,true,SIN,Asia Pacific,Singapore,211 ms,5256 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,214 ms,5241 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,215 ms,5231 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,258 ms,5230 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,246 ms,5172 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,5170 kB/s
47.236.146.249,8443,true,SIN,Asia Pacific,Singapore,218 ms,5164 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,257 ms,5160 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,241 ms,5091 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,210 ms,5082 kB/s
