IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,73 ms,10284 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,223 ms,7966 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,71 ms,7146 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,210 ms,6679 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,213 ms,6124 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,252 ms,6088 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,239 ms,5962 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,226 ms,5808 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,248 ms,5551 kB/s
47.76.32.108,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,5477 kB/s
47.237.95.156,2096,true,SIN,Asia Pacific,Singapore,256 ms,5458 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,211 ms,5299 kB/s
47.236.174.206,8443,true,SIN,Asia Pacific,Singapore,227 ms,5292 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,222 ms,5286 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,236 ms,5260 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,243 ms,5253 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,218 ms,5237 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,237 ms,5189 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,219 ms,5109 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,218 ms,5102 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,227 ms,5070 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,246 ms,5016 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,216 ms,4987 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,219 ms,4986 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,240 ms,4801 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,229 ms,4751 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,250 ms,4735 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,234 ms,4728 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,212 ms,4652 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,237 ms,4567 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,208 ms,4491 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,222 ms,4486 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,221 ms,4472 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,236 ms,4436 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,215 ms,4432 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,247 ms,4425 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,209 ms,4378 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,243 ms,4354 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,209 ms,4352 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,214 ms,4347 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,219 ms,4322 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,218 ms,4269 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,218 ms,4206 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,242 ms,4182 kB/s
