IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,217 ms,4120 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,223 ms,4087 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,233 ms,4060 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,231 ms,4047 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,216 ms,3980 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,248 ms,3840 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,210 ms,3839 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,211 ms,3823 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,244 ms,3800 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,237 ms,3771 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,238 ms,3767 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,212 ms,3762 kB/s
8.217.132.184,443,true,HKG,Asia Pacific,Hong Kong,62 ms,3718 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,218 ms,3631 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,221 ms,3452 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,205 ms,3437 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,213 ms,3413 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,214 ms,3388 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,215 ms,3385 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,249 ms,3370 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,216 ms,3305 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,235 ms,3279 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,241 ms,3226 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,265 ms,3215 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,220 ms,3156 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,218 ms,3154 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,3062 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,225 ms,3004 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,236 ms,2822 kB/s
47.236.158.158,8443,true,SIN,Asia Pacific,Singapore,234 ms,2683 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,291 ms,2639 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,290 ms,2622 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,215 ms,2612 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,282 ms,2577 kB/s
47.236.158.158,2053,true,SIN,Asia Pacific,Singapore,238 ms,2558 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,2545 kB/s
47.76.32.108,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,2412 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,257 ms,2396 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,2393 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,81 ms,2374 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,219 ms,2369 kB/s
47.76.37.57,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,2232 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,209 ms,2089 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,233 ms,2083 kB/s
8.217.90.154,443,true,HKG,Asia Pacific,Hong Kong,62 ms,1903 kB/s
47.237.95.146,2087,true,SIN,Asia Pacific,Singapore,217 ms,1829 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,1811 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,243 ms,1807 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,1794 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,240 ms,1631 kB/s
47.76.32.108,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,1567 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,1561 kB/s
47.76.32.108,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,1535 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,93 ms,1516 kB/s
47.238.164.202,443,true,HKG,Asia Pacific,Hong Kong,57 ms,1481 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,67 ms,1465 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,1388 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,234 ms,1352 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,1097 kB/s
47.76.32.108,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,988 kB/s
47.76.204.76,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,771 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,747 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,739 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,294 ms,700 kB/s
47.242.54.157,2087,true,HKG,Asia Pacific,Hong Kong,72 ms,667 kB/s
47.236.113.184,443,true,SIN,Asia Pacific,Singapore,223 ms,617 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,226 ms,534 kB/s
47.76.33.40,2087,true,HKG,Asia Pacific,Hong Kong,85 ms,502 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,435 kB/s
47.76.204.76,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,326 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,294 kB/s
47.76.159.146,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,214 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,77 ms,198 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,73 ms,182 kB/s
47.76.37.57,2087,true,HKG,Asia Pacific,Hong Kong,76 ms,182 kB/s
47.76.37.57,2096,true,HKG,Asia Pacific,Hong Kong,72 ms,121 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,70 ms,60 kB/s
149.129.8.215,443,true,SJC,North America,San Jose,100 ms,51 kB/s
47.89.244.253,443,true,SJC,North America,San Jose,191 ms,37 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,62 ms,6 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,0 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,0 kB/s
47.76.146.1,8443,true,HKG,Asia Pacific,Hong Kong,70 ms,0 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,70 ms,0 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,66 ms,0 kB/s
47.76.33.40,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,236 ms,0 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,74 ms,0 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.76.204.76,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,0 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,70 ms,0 kB/s
