IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.116.159.183,443,true,FRA,Europe,Frankfurt,264 ms,2214 kB/s
34.141.115.112,443,true,FRA,Europe,Frankfurt,250 ms,2204 kB/s
34.159.174.220,443,true,FRA,Europe,Frankfurt,248 ms,2188 kB/s
34.118.87.30,443,true,FRA,Europe,Frankfurt,264 ms,2184 kB/s
34.147.39.146,443,true,FRA,Europe,Frankfurt,234 ms,2171 kB/s
34.91.36.200,443,true,FRA,Europe,Frankfurt,243 ms,2166 kB/s
34.65.235.106,443,true,FRA,Europe,Frankfurt,242 ms,2150 kB/s
35.246.248.192,443,true,FRA,Europe,Frankfurt,239 ms,2150 kB/s
34.118.20.193,443,true,FRA,Europe,Frankfurt,249 ms,2145 kB/s
34.147.81.162,443,true,FRA,Europe,Frankfurt,240 ms,2139 kB/s
35.246.204.254,443,true,FRA,Europe,Frankfurt,241 ms,2137 kB/s
34.116.159.225,443,true,FRA,Europe,Frankfurt,270 ms,2132 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,320 ms,2117 kB/s
34.32.212.100,443,true,FRA,Europe,Frankfurt,245 ms,2109 kB/s
34.116.253.136,443,true,FRA,Europe,Frankfurt,271 ms,2098 kB/s
34.32.183.111,443,true,FRA,Europe,Frankfurt,263 ms,2095 kB/s
35.234.109.216,443,true,FRA,Europe,Frankfurt,247 ms,2076 kB/s
34.91.83.51,443,true,FRA,Europe,Frankfurt,262 ms,2054 kB/s
34.116.237.149,443,true,FRA,Europe,Frankfurt,256 ms,2023 kB/s
34.118.23.79,443,true,FRA,Europe,Frankfurt,261 ms,2019 kB/s
34.65.241.150,443,true,FRA,Europe,Frankfurt,247 ms,2009 kB/s
34.116.161.110,443,true,FRA,Europe,Frankfurt,261 ms,1990 kB/s
34.116.205.246,443,true,FRA,Europe,Frankfurt,264 ms,1985 kB/s
34.154.217.64,443,true,FRA,Europe,Frankfurt,232 ms,1959 kB/s
34.154.19.192,443,true,FRA,Europe,Frankfurt,236 ms,1952 kB/s
34.118.46.204,443,true,FRA,Europe,Frankfurt,253 ms,1951 kB/s
34.65.219.21,443,true,FRA,Europe,Frankfurt,245 ms,1938 kB/s
